,ERA5abs,ERA5vsPreind,ClimTraceGMST,ERA5/ClimTraceGMST,ClimTraceGSAT
2010,1.0414863083385764,1.0414863083385764,1.0075748072638888,1.0336565591261413,1.0680292956997222
2011,0.9014863083385762,0.9014863083385762,0.8838323386527778,1.0199743423200698,0.9368622789719444
2012,0.9464863083385764,0.9464863083385764,0.9172827789305554,1.03183699735655,0.9723197456663888
2013,0.9784863083385762,0.9784863083385762,0.946563963375,1.0337244456779826,1.0033578011775002
2014,1.0194863083385763,1.0194863083385763,1.0127490317083334,1.0066524641538075,1.0735139736108334
2015,1.1674863083385765,1.1674863083385765,1.1649812055972222,1.002150337472672,1.2348800779330555
2016,1.3454863083385762,1.3454863083385762,1.284640093375,1.0473644060132994,1.3617184989775
2017,1.2544863083385762,1.2544863083385762,1.1928626228194446,1.0516603373601214,1.264434380188611
2018,1.1754863083385765,1.1754863083385765,1.1185230217083333,1.0509272366546756,1.1856344030108334
2019,1.3114863083385764,1.3114863083385764,1.2439275342083334,1.054310859975649,1.3185631862608334
2020,1.3374863083385762,1.3374863083385762,1.2743642125416668,1.0495322256978756,1.3508260652941668
2021,1.1864863083385764,1.1864863083385764,1.1185909994861112,1.0606971707117765,1.185706459455278
2022,1.2134863083385763,1.2134863083385763,1.1563757539305557,1.0493875405238307,1.2257582991663891
2023,1.5134863083385763,1.5134863083385763,1.4501508028194443,1.043675116681653,1.537159850988611
2024,1.6304863083385763,1.6304863083385763,1.5312866369992209,1.0647819088487258,1.6231638352191742
