,1991-2023
HadCRUT5,0.22206705118510472
ERA5-GMST_INCLSI,0.23548854575777456
ERA5-GMST_INCLSI_F,0.22880567629170515
ERA5-GMST_NOSI,0.18885924301737878
ERA5-GMST_NOSI_F,0.2188071082254996
JRA-3Q-GMST_INCLSI,0.2123628023508928
JRA-3Q-GMST_INCLSI_F,0.2100691084156776
JRA-3Q-GMST_NOSI,0.14143159401429928
JRA-3Q-GMST_NOSI_F,0.2100967933614621
NOAAGloTemp,0.22484582107843137
BerkeleyEarth,0.22339739304812836
ClimTrace-GMST,0.2234367551038881
ERA5-GSAT,0.2410781779892338
JRA-3Q-GSAT,0.2201287366315382
ClimTrace-GSAT,0.23684296041012146
HadSST4,0.16293770610516933
ERSSTv5,0.1490637559657244
ERA5-SST,0.14887465402188174
IAPv4-SST,0.14561884564952676
JRA-3Q-SST,0.15148119768111834
CRUTEM5,0.3100163802704434
GHCNv4,0.3425941399286987
BerkeleyEarth-Land,0.3138589015151515
ERA5-LSAT,0.36747883316296115
JRA-3Q-LSAT,0.34489794273134433
ERA5-SSAT,0.18979322948868588
JRA-3Q-SSAT,0.1790097901284608
